JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 20007.000,   345.823,   325.946,    10.266,     0.005,     0.000,     0.000,     0.250,   150.386,  1816.500,     1.000,     0.000,    15.802,  -351.776,     0.000,   295.459,   412.228,   197.043,    37.964,     0.000,         0.000,
 20008.000,   533.331,   325.920,    10.289,     0.006,     0.000,     0.000,     0.250,   150.360,  1816.500,     1.000,     0.000,    15.769,  -315.167,     0.000,   313.721,   411.091,   199.579,    18.218,     0.000,         0.000,
 20009.000,   453.641,   325.902,    10.266,     0.005,     0.000,     0.000,     0.250,   150.342,  1816.500,     1.000,     0.000,    15.772,  -264.278,     0.000,   328.457,   410.373,   178.748,     3.615,     0.000,         0.000,
 20010.000,   348.398,   325.885,    10.402,     0.005,     0.000,     0.000,     0.250,   150.325,  1816.500,     1.000,     0.000,    15.776,  -216.863,     0.000,   346.344,   410.030,   165.525,   -12.348,     0.000,         0.000,
 20011.000,   434.670,   325.875,    10.394,     0.005,     0.000,     0.000,     0.250,   150.315,  1816.500,     1.000,     0.000,    15.783,  -208.869,     0.000,   341.211,   409.896,   148.054,    -7.870,     0.000,         0.000,
 20012.000,   483.446,   325.850,    10.349,     0.006,     0.000,     0.000,     0.250,   150.290,  1816.500,     1.000,     0.000,    15.763,  -217.137,     0.000,   326.258,   409.537,   131.351,     2.506,     0.000,         0.000,
 20013.000,   536.797,   325.835,    10.465,     0.005,     0.000,     0.000,     0.250,   150.275,  1816.500,     1.000,     0.000,    15.763,  -214.770,     0.000,   321.594,   408.870,   121.889,     5.605,     0.000,         0.000,
 20014.000,   461.455,   325.789,    10.508,     0.007,     0.000,     0.000,     0.250,   150.229,  1816.500,     1.000,     0.000,    15.701,  -251.579,     0.000,   331.431,   407.605,   137.594,    37.811,     0.000,         0.000,
 20015.000,   636.309,   325.776,    10.547,     0.005,     0.000,     0.000,     0.250,   150.216,  1816.500,     1.000,     0.000,    15.674,  -297.259,     0.000,   272.737,   405.873,   108.744,    55.379,     0.000,         0.000,
 20016.000,   426.329,   325.824,    10.579,     0.006,     0.000,     0.000,     0.250,   150.264,  1816.500,     1.000,     0.000,    15.601,  -335.844,     0.000,   307.863,   404.124,   163.422,    76.159,     0.000,         0.000,
 20017.000,   454.674,   325.886,    10.588,     0.006,     0.000,     0.000,     0.250,   150.326,  1816.500,     1.000,     0.000,    15.608,  -255.256,     0.000,   292.888,   402.737,    95.088,    50.318,     0.000,         0.000,
 20018.000,   538.665,   325.891,    10.704,     0.005,     0.000,     0.000,     0.250,   150.331,  1816.500,     1.000,     0.000,    15.555,  -292.906,     0.000,   256.544,   401.929,    99.511,    48.010,     0.000,         0.000,
