$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.3,10.3,7.8,30.6,69,59,147.3,174.3,279.3,232.5,91.1,183.1,136.7,449.1,506.7,169.5,671.7,823.7,803.1,619.5,780.9,711.3,642.9,1062.3,464.7,470.1,674.1,1566.3,898.5,1233.9,1255.5,2114.7,1130.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.4,102,143.7,269.4,201.1,81.1,163.8,122.6,409.1,461.1,157.2,629,761.4,741,588.1,721.1,663,600.8,984.5,433.8,440.4,629.7,1491.5,831.6,1171.2,1210.8,2010.1,1098.4,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,52.1,108.6,254.9,165,66.5,139.8,103.8,364.5,410.9,140.4,581.8,694.4,674.2,552,656.8,610.2,554.2,902.2,398.4,406.2,580.6,1412.1,760.2,1103.9,1161.5,1900.9,1061.4,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,76,243,131.6,54.5,118.5,87.7,322.5,363.3,126.1,537.1,630.1,610.1,518.6,595,559.9,510.1,822.4,365.5,374.5,534.2,1335.2,691.3,1039.1,1114.7,1794.2,1027.1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,99,43.4,98,72.5,281.4,316.6,112.7,493.4,566.7,546.9,486,534.1,510.5,466.9,743.5,333.6,343.7,488.7,1259.3,623.4,975.3,1068.9,1688.5,993.7,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8,65.3,31.1,76.4,56,239.1,268.7,98.2,448.4,502.1,482.4,452.3,472,460,422.6,663.4,300.4,311.7,442,1182.2,554.2,910.3,1021.9,1581.6,959.1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6,40.2,27.5,63.4,48.3,205.5,229.5,92.3,412.2,446.1,426.7,427.2,418.7,418.1,386.9,592.1,276,288.5,403.9,1113.8,493.8,854,983.6,1483.4,933.1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3,22,48.6,38.7,170,188.3,84.6,374,388.3,369.1,400.3,363.4,374.4,349.3,518.8,249.6,263.3,364,1043.5,431.4,795.7,943.3,1383.2,905.3,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,28.6,134.1,146.8,76.4,335.4,330.1,311,372.9,307.7,330.2,311.4,445.1,222.9,237.7,323.7,972.7,368.7,737.1,902.7,1282.7,877.1,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9,100.2,63.1,291.8,266.7,247.9,340.5,247,280.9,279.2,400.2,204.8,218.7,298.9,905.9,340.1,689.1,852.2,1200.4,829.8,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.4,183.7,164.1,287.4,165.5,211,228,339.9,168.1,180.9,256.6,819.8,296.9,622.8,780.3,1100.9,759.7,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.7,0.4,47.4,98,53.5,122,176.7,270.2,145.8,156.2,223,698.6,261.6,541.3,687.5,953.1,670.4,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,113.8,189,111.9,120,177.9,565.8,214.7,448.2,583.2,793.7,569.6,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,88.1,58.5,64.1,113.2,413.5,148.2,335.6,459.3,614.7,449.3,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,282.7,103.2,244.4,356.9,457.2,350.4,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,48.3,143.2,244.5,350.1,278.7,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,133.8,253.9,214.3,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,215,201.9,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1,201.8,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,126.3,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
