 LAYERH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
3,0,0,0,0,0,0,69,59,279.3,136.7,169.5,619.5,780.9,711.3,470.1,674.1,898.5,1233.9,1255.5,2114.7,1130.7,0,0,0,0,0,68.3,147.3,449.1,0,0,0,0,0,0,10.3,174.3,232.5,506.7,671.7,642.9,0,0,0,0,0,0,0,0,7.8,30.6,183.1,823.7,803.1,1062.3,1566.3,0,0,0,0,91.1,464.7,0
3,0,0,0,0,0,0,0,47.4,269.4,122.6,157.2,588.1,721.1,663,440.4,629.7,831.6,1171.2,1210.8,2010.1,1098.4,0,0,0,0,0,0,102,409.1,0,0,0,0,0,0,0,143.7,201.1,461.1,629,600.8,0,0,0,0,0,0,0,0,0,0,163.8,761.4,741,984.5,1491.5,0,0,0,0,81.1,433.8,0
3,0,0,0,0,0,0,0,31.3,254.9,103.8,140.4,552,656.8,610.2,406.2,580.6,760.2,1103.9,1161.5,1900.9,1061.4,0,0,0,0,0,0,52.1,364.5,0,0,0,0,0,0,0,108.6,165,410.9,581.8,554.2,0,0,0,0,0,0,0,0,0,0,139.8,694.4,674.2,902.2,1412.1,0,0,0,0,66.5,398.4,0
3,0,0,0,0,0,0,0,0,243,87.7,126.1,518.6,595,559.9,374.5,534.2,691.3,1039.1,1114.7,1794.2,1027.1,0,0,0,0,0,0,4.8,322.5,0,0,0,0,0,0,0,76,131.6,363.3,537.1,510.1,0,0,0,0,0,0,0,0,0,0,118.5,630.1,610.1,822.4,1335.2,0,0,0,0,54.5,365.5,0
3,0,0,0,0,0,0,0,0,232,72.5,112.7,486,534.1,510.5,343.7,488.7,623.4,975.3,1068.9,1688.5,993.7,0,0,0,0,0,0,0,281.4,0,0,0,0,0,0,0,0,99,316.6,493.4,466.9,0,0,0,0,0,0,0,0,0,0,98,566.7,546.9,743.5,1259.3,0,0,0,0,43.4,333.6,0
3,0,0,0,0,0,0,0,0,219.8,56,98.2,452.3,472,460,311.7,442,554.2,910.3,1021.9,1581.6,959.1,0,0,0,0,0,0,0,239.1,0,0,0,0,0,0,0,0,65.3,268.7,448.4,422.6,0,0,0,0,0,0,0,0,0,0,76.4,502.1,482.4,663.4,1182.2,0,0,0,0,31.1,300.4,0
3,0,0,0,0,0,0,0,0,61.6,48.3,92.3,427.2,418.7,418.1,288.5,403.9,493.8,854,983.6,1483.4,933.1,0,0,0,0,0,0,0,205.5,0,0,0,0,0,0,0,0,40.2,229.5,412.2,386.9,0,0,0,0,0,0,0,0,0,0,63.4,446.1,426.7,592.1,1113.8,0,0,0,0,27.5,276,0
3,0,0,0,0,0,0,0,0,0,38.7,84.6,400.3,363.4,374.4,263.3,364,431.4,795.7,943.3,1383.2,905.3,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,13.3,188.3,374,349.3,0,0,0,0,0,0,0,0,0,0,48.6,388.3,369.1,518.8,1043.5,0,0,0,0,22,249.6,0
3,0,0,0,0,0,0,0,0,0,28.6,76.4,372.9,307.7,330.2,237.7,323.7,368.7,737.1,902.7,1282.7,877.1,0,0,0,0,0,0,0,134.1,0,0,0,0,0,0,0,0,0,146.8,335.4,311.4,0,0,0,0,0,0,0,0,0,0,33.3,330.1,311,445.1,972.7,0,0,0,0,0,222.9,0
3,0,0,0,0,0,0,0,0,0,0,63.1,340.5,247,280.9,218.7,298.9,340.1,689.1,852.2,1200.4,829.8,0,0,0,0,0,0,0,49.9,0,0,0,0,0,0,0,0,0,100.2,291.8,279.2,0,0,0,0,0,0,0,0,0,0,0,266.7,247.9,400.2,905.9,0,0,0,0,0,204.8,0
6,0,0,0,0,0,0,0,0,0,0,0,287.4,165.5,211,180.9,256.6,296.9,622.8,780.3,1100.9,759.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227.4,228,0,0,0,0,0,0,0,0,0,0,0,183.7,164.1,339.9,819.8,0,0,0,0,0,168.1,0
6,0,0,0,0,0,0,0,0,0,0,0,98,53.5,122,156.2,223,261.6,541.3,687.5,953.1,670.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.7,176.7,0,0,0,0,0,0,0,0,0,0,0,0.4,47.4,270.2,698.6,0,0,0,0,0,145.8,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6,120,177.9,214.7,448.2,583.2,793.7,569.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.8,0,0,0,0,0,0,0,0,0,0,0,0,0,189,565.8,0,0,0,0,0,111.9,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.1,113.2,148.2,335.6,459.3,614.7,449.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1,413.5,0,0,0,0,0,58.5,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,103.2,244.4,356.9,457.2,350.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.7,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,143.2,244.5,350.1,278.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,133.8,253.9,214.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,215,201.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1,201.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8,126.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
