"JDAY","QOUT","QOUT.1","QOUT.2","QOUT.3","QOUT.4"
17285,182.927305883938,0,0,0,0
17286,204.277305883938,0,0,0,0
17287,175.107305883938,0,0,0,0
17288,168.517305883938,0,0,0,0
17289,164.037305883938,0,0,0,0
17290,169.107305883938,0,0,0,0
17291,163.047305883938,0,0,0,0
17292,164.717305883938,0,0,0,0
17293,184.347305883938,0,0,0,0
17294,207.447305883938,0,0,0,0
17295,188.057305883938,0,0,0,0
17296,189.867305883938,0,0,0,0
17297,213.167305883938,0,0,0,0
17298,230.047305883938,0,0,0,0
17299,230.617305883938,0,0,0,0
17300,219.177305883938,0,0,0,0
17301,215.437305883938,0,0,0,0
17302,220.897305883938,0,0,0,0
17303,214.077305883938,0,0,0,0
17304,205.527305883938,0,0,0,0
17305,210.477305883938,0,0,0,0
17306,208.497305883938,0,0,0,0
17307,214.957305883938,0,0,0,0
17308,222.397305883938,0,0,0,0
17309,222.457305883938,0,0,0,0
17310,212.657305883938,0,0,0,0
17311,232.367305883938,0,0,0,0
17312,247.117305883938,0,0,0,0
17313,238.367305883938,0,0,0,0
17314,230.837305883938,0,0,0,0
17315,218.097305883938,0,0,0,0
17316,187.687305883938,0,0,0,0
17317,206.427305883938,0,0,0,0
17318,207.027305883938,0,0,0,0
17319,219.877305883938,0,0,0,0
17320,220.927305883938,0,0,0,0
17321,225.917305883938,0,0,0,0
17322,172.447305883938,0,0,0,0
17323,209.937305883938,0,0,0,0
17324,226.227305883938,0,0,0,0
17325,229.337305883938,0,0,0,0
17326,243.017305883938,0,0,0,0
17327,242.027305883938,0,0,0,0
17328,254.317305883938,0,0,0,0
17329,273.487305883938,0,0,0,0
17330,300.977305883938,0,0,0,0
17331,330.887305883938,0,0,0,0
17332,353.107305883938,0,0,0,0
17333,367.777305883938,0,0,0,0
17334,344.527305883938,0,0,0,0
17335,354.587305883938,0,0,0,0
17336,352.237305883938,0,0,0,0
17337,350.397305883938,0,0,0,0
17338,326.697305883938,0,0,0,0
17339,335.697305883938,0,0,0,0
17340,341.357305883938,0,0,0,0
17341,344.527305883938,0,0,0,0
17342,324.797305883938,0,0,0,0
17343,334.507305883938,0,0,0,0
17344,326.357305883938,0,0,0,0
17345,357.447305883938,0,0,0,0
17346,362.907305883938,0,0,0,0
17347,320.407305883938,0,0,0,0
17348,349.907305883938,0,0,0,0
17349,361.207305883938,0,0,0,0
17350,352.687305883938,0,0,0,0
17351,340.827305883938,0,0,0,0
17352,357.557305883938,0,0,0,0
17353,353.107305883938,0,0,0,0
17354,343.087305883938,0,0,0,0
17355,323.207305883938,0,0,0,0
17356,338.757305883938,0,0,0,0
17357,357.107305883938,0,0,0,0
17358,358.487305883938,0,0,0,0
17359,354.247305883938,0,0,0,0
17360,354.277305883938,0,0,0,0
17361,356.987305883938,0,0,0,0
17362,363.877305883938,0,0,0,0
17363,359.427305883938,0,0,0,0
17364,359.507305883938,0,0,0,0
17365,345.747305883938,0,0,0,0
17366,352.007305883938,0,0,0,0
17367,351.757305883938,0,0,0,0
17368,354.837305883938,0,0,0,0
17369,355.517305883938,0,0,0,0
17370,361.467305883938,0,0,0,0
17371,357.047305883938,0,0,0,0
17372,358.717305883938,0,0,0,0
17373,353.447305883938,0,0,0,0
17374,356.847305883938,0,0,0,0
17375,316.127305883938,0,0,0,0
17376,335.557305883938,0,0,0,0
17377,317.627305883938,0,0,0,0
17378,323.837305883938,0,0,0,0
17379,345.377305883938,0,0,0,0
17380,357.477305883938,0,0,0,0
17381,343.597305883938,0,0,0,0
17382,379.987305883938,0,0,0,0
17383,370.297305883938,0,0,0,0
17384,342.007305883938,0,0,0,0
17385,323.267305883938,0,0,0,0
17386,339.207305883938,0,0,0,0
17387,344.927305883938,0,0,0,0
17388,324.827305883938,0,0,0,0
17389,332.577305883938,0,0,0,0
17390,341.697305883938,0,0,0,0
17391,331.957305883938,0,0,0,0
17392,315.757305883938,0,0,0,0
17393,316.267305883938,0,0,0,0
17394,299.597305883938,0,0,0,0
17395,295.717305883938,0,0,0,0
17396,274.027305883938,0,0,0,0
17397,261.137305883938,0,0,0,0
17398,264.087305883938,0,0,0,0
17399,267.367305883938,0,0,0,0
17400,260.517305883938,0,0,0,0
17401,247.347305883938,0,0,0,0
17402,241.767305883938,0,0,0,0
17403,229.087305883938,0,0,0,0
17404,235.397305883938,0,0,0,0
17405,217.217305883938,0,0,0,0
17406,226.877305883938,0,0,0,0
17407,215.097305883938,0,0,0,0
17408,206.687305883938,0,0,0,0
17409,217.337305883938,0,0,0,0
17410,234.327305883938,0,0,0,0
17411,272.667305883938,0,0,0,0
17412,261.987305883938,0,0,0,0
17413,283.817305883938,0,0,0,0
17414,292.687305883938,0,0,0,0
17415,307.777305883938,0,0,0,0
17416,323.747305883938,0,0,0,0
17417,285.267305883938,0,0,0,0
17418,235.087305883938,0,0,0,0
17419,242.907305883938,0,0,0,0
17420,259.157305883938,0,0,0,0
17421,277.397305883938,0,0,0,0
17422,196.067305883938,0,0,0,0
17423,219.147305883938,0,0,0,0
17424,230.077305883938,0,0,0,0
17425,220.897305883938,0,0,0,0
17426,240.017305883938,0,0,0,0
17427,215.437305883938,0,0,0,0
17428,216.397305883938,0,0,0,0
17429,200.737305883938,0,0,0,0
17430,200.967305883938,0,0,0,0
17431,201.307305883938,0,0,0,0
17432,200.907305883938,0,0,0,0
17433,194.117305883938,0,0,0,0
17434,206.737305883938,0,0,0,0
17435,202.717305883938,0,0,0,0
17436,198.137305883938,0,0,0,0
17437,196.467305883938,0,0,0,0
17438,209.207305883938,0,0,0,0
17439,211.697305883938,0,0,0,0
17440,188.447305883938,0,0,0,0
17441,176.217305883938,0,0,0,0
17442,161.947305883938,0,0,0,0
17443,162.147305883938,0,0,0,0
17444,140.647305883938,0,0,0,0
17445,149.007305883938,0,0,0,0
17446,151.607305883938,0,0,0,0
17447,140.937305883938,0,0,0,0
17448,155.207305883938,0,0,0,0
17449,110.127305883938,0,0,0,0
17450,121.847305883938,0,0,0,0
17451,134.057305883938,0,0,0,0
17452,122.297305883938,0,0,0,0
17453,126.097305883938,0,0,0,0
17454,123.237305883938,0,0,0,0
17455,123.997305883938,0,0,0,0
17456,101.597305883938,0,0,0,0
17457,106.387305883938,0,0,0,0
17458,101.577305883938,0,0,0,0
