$2/1/1990-8/29/2024 McCloud River (proportional estimate),
,
JDAY,QIN
16374,5.37
16375,16.66
16376,12.85
16377,14.08
16378,6.14
16379,19.57
16380,11.03
16381,12.44
16382,9.56
16383,15.5
16384,32.55
16385,25.9
16386,19.25
16387,12.35
16388,12.95
16389,19.35
16390,7.46
16391,17.14
16392,10.68
16393,14.58
16394,11.52
16395,7.82
16396,18.3
16397,11.67
16398,13.86
16399,4.28
16400,17.2
16401,14.97
16402,20.01
16403,10.75
16404,10.32
16405,14.13
16406,15.06
16407,9.63
16408,20.78
16409,16.52
16410,12.87
16411,11.64
16412,13.72
16413,17.76
16414,14.24
16415,9.92
16416,12.82
16417,18.69
16418,13.92
16419,26.43
16420,8.39
16421,24.49
16422,17.08
16423,11.66
16424,26.17
16425,15.29
16426,14.57
16427,18.87
16428,6.35
16429,19.12
16430,13.3
16431,16.74
16432,15.27
16433,18.86
16434,12.85
16435,14.28
16436,9.64
16437,19.35
16438,7.76
16439,21.23
16440,19.9
16441,17.46
16442,32.88
16443,79.67
16444,218.64
16445,436.84
16446,335.47
16447,273.76
16448,325.11
16449,348.94
16450,356.2
16451,193.97
16452,135.48
16453,99.9
16454,79.82
16455,64.11
16456,59.64
16457,50.63
16458,68.73
16459,104.35
16460,104.18
16461,97.25
16462,83.05
16463,97.66
16464,92.98
16465,92.24
16466,118.89
16467,182.53
16468,197.89
16469,143.4
16470,116.09
16471,91.4
16472,82.1
16473,70.7
16474,64.07
16475,66.26
16476,54.77
16477,51.85
16478,52.41
16479,46.91
16480,52.91
16481,49.05
16482,43.71
16483,33.81
16484,44.08
16485,38.45
16486,39.54
16487,30.92
16488,40.56
16489,36.69
16490,41.63
16491,37.98
16492,38.1
16493,26.19
16494,32.09
16495,35.3
16496,35.92
16497,63.6
16498,89.59
16499,77.56
16500,73.43
16501,54.84
16502,54.82
16503,80.07
16504,339.89
16505,374.9
16506,358.21
16507,231.94
16508,286.45
16509,392.57
16510,298.51
16511,176.26
16512,129.78
16513,136.08
16514,117.48
16515,174.09
16516,165.33
16517,174.08
16518,147.2
16519,118.86
16520,105.46
16521,91.59
16522,86.96
16523,79.42
16524,78.11
16525,73.4
16526,70.95
16527,68.18
16528,67.16
16529,60.52
16530,61.01
16531,64.05
16532,112.44
16533,226.46
16534,171.17
16535,122.04
16536,102.68
16537,87.75
16538,83.82
16539,95.64
16540,85.25
16541,74.2
16542,69.1
16543,65.97
16544,65.19
16545,60.62
16546,83.32
16547,56.65
16548,54.22
16549,53.23
16550,51.59
16551,49.93
16552,49.94
16553,55.72
16554,55.56
16555,97.28
16556,103.99
16557,156.41
16558,141.3
16559,132.35
16560,123.8
16561,106.41
16562,98.45
16563,88.94
16564,80.6
16565,78.7
16566,75.35
16567,68.25
16568,68.49
16569,65.06
16570,60.53
16571,60.41
16572,56.72
16573,55.73
16574,55.03
16575,50.09
16576,54.55
16577,47.88
16578,51.97
16579,49.98
16580,43.81
16581,44.67
16582,42.97
16583,40.87
16584,40.02
16585,43.43
16586,34.21
16587,41.65
16588,35.99
16589,37.45
16590,38.3
16591,27.33
16592,36.35
16593,35.03
16594,31.94
16595,34.74
16596,27.19
16597,28.5
16598,27.85
16599,34.98
16600,27.14
16601,49.56
16602,41.12
16603,44.96
16604,34.36
16605,33.32
16606,38.41
16607,32.63
16608,33.25
16609,31.37
16610,34.3
16611,28.61
16612,30.68
