$10/1/1950-8/29/2024 Pit River (proportional estimate),
,
JDAY,QIN
1884,76.61
1885,83.99
1886,77.8
1887,77.57
1888,86.37
1889,80.29
1890,82.38
1891,67.86
1892,118.6
1893,133.07
1894,97.71
1895,120.93
1896,144.63
1897,107.96
1898,95.28
1899,101.13
1900,97.17
1901,92.08
1902,96.77
1903,128.81
1904,166.89
1905,600.51
1906,1311.84
1907,1608.42
1908,2089.11
1909,2456.3
1910,1753.3
1911,897.92
1912,791.04
1913,831.84
1914,693.75
1915,519.23
1916,419.32
1917,339.29
1918,313.66
1919,356.21
1920,307.73
1921,260.31
1922,338.42
1923,422.46
1924,479.12
1925,881.19
1926,697.76
1927,478.6
1928,462.74
1929,459.25
1930,412.0
1931,437.98
1932,696.89
1933,1180.38
1934,862.36
1935,618.43
1936,492.2
1937,453.84
1938,466.57
1939,455.94
1940,521.14
1941,563.69
1942,489.41
1943,444.78
1944,443.38
1945,463.08
1946,393.17
1947,352.72
1948,298.32
1949,264.67
1950,235.9
1951,215.68
1952,206.26
1953,186.38
1954,187.95
1955,184.99
1956,187.43
1957,170.0
1958,171.91
1959,164.07
1960,164.42
1961,163.54
1962,161.1
1963,153.43
1964,154.48
1965,150.47
1966,152.73
1967,146.46
1968,221.6
1969,518.88
1970,1573.72
1971,1532.22
1972,972.55
1973,634.13
1974,561.59
1975,434.32
1976,358.12
1977,339.82
1978,320.81
1979,293.09
1980,271.99
1981,277.22
1982,296.23
1983,298.84
1984,280.71
1985,262.58
1986,248.98
1987,241.48
1988,244.1
1989,226.49
1990,224.92
1991,213.41
1992,207.66
1993,200.33
1994,203.3
1995,200.33
1996,207.83
1997,221.08
1998,223.7
1999,233.63
2000,246.36
2001,258.22
2002,275.13
2003,286.99
2004,287.34
2005,300.41
2006,288.73
2007,274.08
2008,264.15
2009,251.07
2010,244.44
2011,241.48
2012,223.52
2013,214.98
2014,208.0
2015,214.46
2016,215.5
2017,202.77
2018,214.8
2019,235.9
2020,225.96
2021,219.16
2022,210.79
2023,207.48
2024,208.7
2025,202.95
2026,209.22
2027,206.09
2028,212.01
2029,218.99
2030,214.28
2031,222.82
2032,245.66
2033,230.32
2034,221.43
2035,211.14
2036,200.51
2037,199.11
2038,194.75
2039,191.09
2040,189.87
2041,194.06
2042,202.08
2043,252.99
2044,262.75
2045,280.01
2046,260.66
2047,232.76
2048,224.04
2049,269.2
2050,265.02
2051,222.48
2052,214.8
2053,209.05
2054,201.73
2055,209.92
2056,207.83
2057,211.32
2058,211.49
2059,210.97
2060,202.95
2061,198.94
2062,198.41
2063,172.61
2064,171.74
2065,171.39
2066,141.05
2067,156.74
2068,153.26
2069,163.25
2070,152.37
2071,148.31
2072,142.81
2073,135.02
2074,144.71
2075,127.89
2076,132.04
2077,126.93
2078,125.99
2079,118.8
2080,122.68
2081,119.87
2082,108.97
2083,105.8
2084,111.76
2085,107.51
2086,98.98
2087,99.77
2088,110.4
2089,114.34
2090,109.35
2091,103.51
2092,105.15
2093,100.22
2094,99.94
2095,91.99
2096,98.93
2097,99.42
2098,91.73
2099,99.28
2100,88.62
2101,79.71
2102,87.12
2103,91.05
2104,84.06
2105,83.36
2106,83.55
2107,84.42
2108,89.03
2109,75.57
2110,82.19
2111,77.5
2112,80.67
